cycle,state,modeldate,candidate_name,startdate,enddate,pollster,samplesize,population,weight,influence,pct,house_adjusted_pct,trend_and_house_adjusted_pct,tracking,poll_id,question_id
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,10/17/2020,10/20/2020,Fox News/Beacon Research/Shaw & Co. Research,1037,lv,1.763129,0.9980393,49,49.12566,49.11808,,71628,134186
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/22/2020,10/20/2020,SurveyMonkey,4513,lv,0.0660121,0.0043842,55,53.31041,53.55435,T,71571,134119
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,10/16/2020,10/19/2020,Susquehanna Polling & Research Inc.,500,lv,0.6815998,0.3562502,45,46.32285,46.36259,,71559,134051
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,10/14/2020,10/19/2020,Latino Decisions,400,lv,0.5343021,0.256077,50,48.98711,49.01713,,71552,134036
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,10/16/2020,10/19/2020,Change Research,447,lv,0.5608793,0.2909094,52,52.33459,52.33956,,71524,133962
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/21/2020,10/19/2020,SurveyMonkey,4511,lv,0.0371363,0.0019972,55,53.31041,53.5727,T,71469,133907
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/21/2020,10/18/2020,SurveyMonkey,4575,lv,0,0,55,53.31041,53.59256,T,71384,133723
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,10/13/2020,10/19/2020,Ipsos,663,lv,0.7193363,0.3016074,51,51.63327,51.67029,,71380,133665
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,10/14/2020,10/16/2020,Trafalgar Group,1051,lv,0.585605,0.2271278,47.6,49.84497,49.90643,,71365,133639
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/20/2020,10/17/2020,SurveyMonkey,4571,lv,0.054408,0.0015744,55,53.31041,53.61436,T,71302,133562
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,10/13/2020,10/16/2020,YouGov,1112,lv,1.093788,0.427514,51,51.21536,51.24668,,71296,133501
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/19/2020,10/16/2020,SurveyMonkey,4565,lv,0.0555211,0.0012923,55,53.31041,53.6414,T,71244,133445
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/18/2020,10/15/2020,SurveyMonkey,4513,lv,0.0566336,0.0009842,55,53.31041,53.66655,T,71183,133318
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/17/2020,10/14/2020,SurveyMonkey,4425,lv,0.0578905,0.0006554,54,52.30724,52.68744,T,71109,133168
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,10/8/2020,10/11/2020,Civiqs,560,lv,0.5797104,0.1090584,53,51.31174,51.37877,,71102,133105
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,10/11/2020,10/13/2020,Trafalgar Group,1043,lv,0.4193351,0.1074029,47.3,50.11419,50.18842,,71095,133085
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/16/2020,10/13/2020,SurveyMonkey,4414,lv,0.0613905,0.0003158,54,52.30724,52.71387,T,71015,132961
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,10/10/2020,10/13/2020,David Binder Research,200,lv,0.3355042,0.0880043,53,51.25434,51.29925,,71004,132878
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/15/2020,10/12/2020,SurveyMonkey,4397,lv,0.0665559,0,54,52.30724,52.74168,T,70974,132804
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,10/2/2020,10/11/2020,Morning Consult,1067,lv,0.8431594,0.0924735,51,50.90774,51.02443,T,70763,132372
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,10/6/2020,10/11/2020,Ipsos,577,lv,0.6874609,0.0840363,51.5,52.13302,52.25368,,70740,132338
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,10/8/2020,10/11/2020,Siena College/The New York Times Upshot,789,lv,1.644302,0.3093354,51,51.34533,51.41318,,70738,132335
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/30/2020,10/8/2020,Baldwin Wallace University,883,lv,0.7271249,0.0763638,49.2,49.56916,49.74887,,70722,132291
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,10/4/2020,10/7/2020,Redfield & Wilton Strategies,688,lv,0.6922636,0.068683,51,52.1602,52.33322,,70711,132265
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/30/2020,10/4/2020,Marquette University Law School,700,lv,1.453999,0.0836538,47,46.65121,46.90419,,70646,132105
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,10/2/2020,10/4/2020,Change Research,442,lv,0.5516583,0.0363723,51,51.33488,51.56042,,70609,132014
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/29/2020,10/5/2020,Ipsos,601,lv,0.8080691,0.0159394,50,50.63353,50.98161,,70584,131967
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,6/8/2020,6/30/2020,SurveyMonkey,813,lv,0.5069495,0,50.57,48.87298,50.21172,,70449,131303
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/1/2020,7/31/2020,SurveyMonkey,2173,lv,0.6109986,0,50.24,48.54311,50.00747,,70399,131201
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/1/2020,8/31/2020,SurveyMonkey,1913,lv,0.6009769,0,48.38,46.68558,47.95989,,70349,131099
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/1/2020,9/30/2020,SurveyMonkey,3806,lv,0.5726671,0,53.45,51.75587,52.67929,T,70297,130992
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/25/2020,9/28/2020,Trafalgar Group,1084,lv,0.4089454,0,47.2,50.014,50.64661,,70143,130683
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/23/2020,9/27/2020,Redfield & Wilton Strategies,663,lv,0.6312854,0,48,49.16034,49.83033,,70128,130655
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/23/2020,9/26/2020,Susquehanna Polling & Research Inc.,500,lv,0.6815998,0,48,49.32862,50.02838,,70025,130437
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/22/2020,9/25/2020,Trafalgar Group,1189,lv,0.6197145,0,47.7,49.94511,50.69262,,70014,130422
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/20/2020,9/24/2020,Marist College,727,lv,1.480951,0,54,53.02129,53.81406,,69996,130357
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/17/2020,9/19/2020,Garin-Hart-Yang Research Group,400,lv,0.565323,0,51,49.58245,50.47379,,69985,130330
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/10/2020,9/21/2020,YouGov,664,lv,0.9272192,0,50,50.21543,51.17605,,69716,130007
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/8/2020,9/22/2020,Baldwin Wallace University,863,lv,0.7211198,0,50.3,50.66918,51.65037,,69703,129963
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/18/2020,9/20/2020,Change Research,571,lv,0.61624,0,51,51.33488,52.20141,,69686,129908
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,6/20/2020,6/24/2020,Ogden & Fry,825,lv,0.8871915,0,45.2,46.27106,47.57169,,69632,129821
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/11/2020,9/16/2020,Ipsos,609,lv,0.8722953,0,48,48.63309,49.65042,,69627,129813
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/12/2020,9/16/2020,Redfield & Wilton Strategies,636,lv,0.5981788,0,47,48.1592,49.15675,,69547,129565
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/11/2020,9/15/2020,Civiqs,704,rv,0.6030517,0,51,50.18989,51.21657,,69538,129547
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/7/2020,9/16/2020,Morning Consult,800,lv,0.6423361,0,51,50.90774,51.91217,T,69522,129505
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/6/2020,9/15/2020,Morning Consult,800,lv,0.0639599,0,51,50.90774,51.92665,T,69497,129460
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/8/2020,9/13/2020,ABC News/The Washington Post,605,lv,1.322618,0,52,50.69381,51.74359,,69475,129401
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/5/2020,9/14/2020,Morning Consult,809,lv,0.0646537,0,51,50.90774,51.94162,T,69471,129393
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/9/2020,9/13/2020,SSRS,816,lv,1.146129,0,52,51.27655,52.31324,,69463,129370
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/4/2020,9/13/2020,Morning Consult,774,lv,0.0621825,0,50,49.90771,50.95715,T,69445,129341
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/3/2020,9/12/2020,Morning Consult,769,lv,0.0623433,0,50,49.90771,50.9712,T,69427,129309
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/2/2020,9/11/2020,Morning Consult,797,lv,0.0655801,0,50,49.90771,50.98309,T,69426,129308
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/8/2020,9/10/2020,Siena College/The New York Times Upshot,760,lv,1.589157,0,48,48.34516,49.43145,,69419,129278
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/1/2020,9/10/2020,Morning Consult,797,lv,0.0668558,0,50,49.90771,50.99393,T,69414,129271
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/31/2020,9/9/2020,Morning Consult,816,lv,0.0703084,0,50,49.90771,51.00449,T,69404,129252
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/6/2020,9/8/2020,Emerson College,823,lv,1.410921,0,51.43,50.84084,51.92005,,69403,129251
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/28/2020,9/8/2020,Benenson Strategy Group/GS Strategy Group,1200,lv,1.880784,0,50,50.05955,51.18697,,68580,128407
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/30/2020,9/8/2020,Morning Consult,799,lv,0.0710647,0,51,50.90774,52.01298,T,68570,128393
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/30/2020,9/3/2020,Marquette University Law School,688,lv,1.431371,0,48,47.65073,48.80064,,68559,128354
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/4/2020,9/6/2020,Change Research,501,lv,0.5736107,0,50,50.33499,51.44822,,68538,128313
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/29/2020,9/7/2020,Morning Consult,791,lv,0.0730613,0,51,50.90774,52.02129,T,68531,128298
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/30/2020,9/4/2020,Redfield & Wilton Strategies,670,lv,0.6578386,0,50,51.16084,52.302,,68525,128290
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/28/2020,9/6/2020,Morning Consult,770,lv,0.074355,0,51,50.90774,52.02737,T,68503,128248
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/1/2020,9/2/2020,Rasmussen Reports/Pulse Opinion Research,1000,lv,1.034299,0,53.09,52.21906,53.36017,,68499,128241
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/27/2020,9/5/2020,Morning Consult,763,lv,0.078544,0,50,49.90771,51.04773,T,68496,128232
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/2/2020,9/4/2020,YouGov,978,lv,1.205065,0,50,50.21543,51.36132,,68495,128231
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/26/2020,9/4/2020,Morning Consult,775,lv,0.0818928,0,51,50.90774,52.07988,T,68490,128220
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/25/2020,9/3/2020,Morning Consult,797,lv,0.0862457,0,52,51.90781,53.10128,T,68488,128216
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/17/2020,8/20/2020,Hodas & Associates,600,lv,0.7015365,0,51.91,51.25761,52.48304,,68485,128206
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/24/2020,9/2/2020,Morning Consult,810,lv,0.0894995,0,52,51.90781,53.11983,T,68471,128182
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/23/2020,9/1/2020,Morning Consult,809,lv,0.0904508,0,52,51.90781,53.12768,T,68457,128143
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/22/2020,8/31/2020,Morning Consult,819,lv,0.0931888,0,53,52.90792,54.13215,T,68456,128142
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/20/2020,8/29/2020,Morning Consult,797,lv,0.095408,0,51,50.90774,52.14298,T,68455,128141
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/19/2020,8/28/2020,Morning Consult,797,lv,0.0982555,0,51,50.90774,52.14492,T,68454,128140
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/18/2020,8/27/2020,Morning Consult,797,lv,0.0998353,0,52,51.90781,53.14656,T,68453,128139
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/17/2020,8/26/2020,Morning Consult,797,lv,0.0975422,0,52,51.90781,53.13614,T,68452,128138
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/16/2020,8/25/2020,Morning Consult,797,lv,0.0945295,0,51,50.90774,52.13303,T,68451,128137
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/15/2020,8/24/2020,Morning Consult,797,lv,0.0921807,0,50,49.90771,51.12833,T,68450,128136
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/14/2020,8/23/2020,Morning Consult,797,lv,0.0910997,0,51,50.90774,52.12117,T,68449,128135
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/13/2020,8/22/2020,Morning Consult,797,lv,0.0908785,0,50,49.90771,51.11032,T,68448,128134
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/12/2020,8/21/2020,Morning Consult,797,lv,0.0907178,0,50,49.90771,51.09906,T,68447,128133
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/11/2020,8/20/2020,Morning Consult,797,lv,0.07579,0,51,50.90774,52.04195,T,68446,128132
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/10/2020,8/19/2020,Morning Consult,797,lv,0.0690576,0,51,50.90774,52.01163,T,68445,128131
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/9/2020,8/18/2020,Morning Consult,797,lv,0.0635948,0,50,49.90771,50.9972,T,68444,128130
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/8/2020,8/17/2020,Morning Consult,797,lv,0.058488,0,48,47.90781,49.00372,T,68443,128129
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/6/2020,8/15/2020,Morning Consult,797,lv,0.1132512,0,50,49.90771,51.01388,T,68442,128128
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/5/2020,8/14/2020,Morning Consult,797,lv,0.0576186,0,50,49.90771,51.01808,T,68441,128127
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/4/2020,8/13/2020,Morning Consult,797,lv,0.0588302,0,50,49.90771,51.02593,T,68440,128126
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/3/2020,8/12/2020,Morning Consult,797,lv,0.0602623,0,50,49.90771,51.0373,T,68439,128125
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/2/2020,8/11/2020,Morning Consult,797,lv,0.0643585,0,50,49.90771,51.06764,T,68438,128124
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/1/2020,8/10/2020,Morning Consult,797,lv,0.0657213,0,50,49.90771,51.07748,T,68437,128123
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/31/2020,8/9/2020,Morning Consult,797,lv,0.0671647,0,50,49.90771,51.08685,T,68436,128122
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/30/2020,8/8/2020,Morning Consult,797,lv,0.0689183,0,51,50.90774,52.09453,T,68435,128121
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/29/2020,8/7/2020,Morning Consult,797,lv,0.0708007,0,51,50.90774,52.10342,T,68434,128120
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/28/2020,8/6/2020,Morning Consult,797,lv,0.0706506,0,51,50.90774,52.11413,T,68433,128119
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/27/2020,8/5/2020,Morning Consult,797,lv,0.0702969,0,51,50.90774,52.1284,T,68432,128118
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/26/2020,8/4/2020,Morning Consult,797,lv,0.0699855,0,51,50.90774,52.14038,T,68431,128117
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/25/2020,8/3/2020,Morning Consult,797,lv,0.0696851,0,51,50.90774,52.15041,T,68430,128116
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/24/2020,8/2/2020,Morning Consult,797,lv,0.0694284,0,52,51.90781,53.15971,T,68429,128115
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/23/2020,8/1/2020,Morning Consult,797,lv,0.069401,0,51,50.90774,52.17227,T,68428,128114
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/22/2020,7/31/2020,Morning Consult,797,lv,0.0696309,0,50,49.90771,51.18438,T,68427,128113
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/21/2020,7/30/2020,Morning Consult,797,lv,0.0698658,0,51,50.90774,52.19659,T,68426,128112
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/20/2020,7/29/2020,Morning Consult,797,lv,0.0701419,0,50,49.90771,51.20959,T,68425,128111
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/19/2020,7/28/2020,Morning Consult,797,lv,0.0704251,0,50,49.90771,51.22041,T,68424,128110
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/18/2020,7/27/2020,Morning Consult,797,lv,0.0703844,0,50,49.90771,51.23017,T,68423,128109
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/16/2020,7/25/2020,Morning Consult,797,lv,0.0702384,0,49,48.90774,50.24911,T,68422,128108
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/15/2020,7/24/2020,Morning Consult,797,lv,0.07017,0,49,48.90774,50.25902,T,68421,128107
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/14/2020,7/23/2020,Morning Consult,797,lv,0.070102,0,48,47.90781,49.26809,T,68420,128106
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/13/2020,7/22/2020,Morning Consult,797,lv,0.07007,0,47,46.90794,48.27797,T,68419,128105
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/12/2020,7/21/2020,Morning Consult,797,lv,0.0700739,0,48,47.90781,49.28895,T,68418,128104
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/11/2020,7/20/2020,Morning Consult,797,lv,0.0700777,0,48,47.90781,49.29771,T,68417,128103
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/10/2020,7/19/2020,Morning Consult,797,lv,0.0700815,0,48,47.90781,49.30922,T,68416,128102
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/9/2020,7/18/2020,Morning Consult,797,lv,0.0700853,0,49,48.90774,50.32165,T,68415,128101
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/8/2020,7/17/2020,Morning Consult,797,lv,0.0700892,0,48,47.90781,49.32936,T,68414,128100
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/7/2020,7/16/2020,Morning Consult,797,lv,0.070093,0,49,48.90774,50.33308,T,68413,128099
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/6/2020,7/15/2020,Morning Consult,797,lv,0.0700968,0,49,48.90774,50.33337,T,68412,128098
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/5/2020,7/14/2020,Morning Consult,797,lv,0.0700974,0,50,49.90771,51.33328,T,68411,128097
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/4/2020,7/13/2020,Morning Consult,797,lv,0.0700979,0,50,49.90771,51.33135,T,68410,128096
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/3/2020,7/12/2020,Morning Consult,797,lv,0.0700985,0,50,49.90771,51.32726,T,68409,128095
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/2/2020,7/11/2020,Morning Consult,797,lv,0.070099,0,50,49.90771,51.32152,T,68408,128094
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/1/2020,7/10/2020,Morning Consult,797,lv,0.0700995,0,51,50.90774,52.31458,T,68407,128093
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,6/30/2020,7/9/2020,Morning Consult,797,lv,0.0701001,0,50,49.90771,51.30529,T,68406,128092
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,6/29/2020,7/8/2020,Morning Consult,797,lv,0.0701006,0,51,50.90774,52.28542,T,68405,128091
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,6/28/2020,7/7/2020,Morning Consult,797,lv,0.0701011,0,51,50.90774,52.27671,T,68404,128090
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,6/27/2020,7/6/2020,Morning Consult,797,lv,0.0701017,0,50,49.90771,51.26143,T,68403,128089
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,6/26/2020,7/5/2020,Morning Consult,797,lv,0.0701022,0,51,50.90774,52.24784,T,68402,128088
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,6/25/2020,7/4/2020,Morning Consult,797,lv,0.0701022,0,50,49.90771,51.23522,T,68401,128087
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,6/24/2020,7/3/2020,Morning Consult,797,lv,0.0701022,0,50,49.90771,51.22338,T,68400,128086
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,6/23/2020,7/2/2020,Morning Consult,797,lv,0.0701022,0,50,49.90771,51.21155,T,68399,128085
